id,symptom_title
5053362a-232d-4bb0-93fa-5a6e121beee6,Acn�
1a5b2011-d7fc-48b7-a770-d4f3d8939c5e,A rophagie
8d5a3cab-7aa4-4a90-a87e-1a6dcc1e2358,Affection bronches
7daa5241-1671-49de-bb0a-f032209014da,Aigreurs d'estomac
7a73aa7c-53bc-46cb-a3da-52d6ffa72be4,Allergies
02253768-4d51-44d9-a26c-83dfb7c9f9d9,Angine
1f7cd765-7ab8-4833-92f6-0d0a8ee3c68e,Angine / Diarrh s
5c92c5ed-fe86-4127-b451-b63829250e50,Anxi�t� 
37fab05a-a3fc-427b-84c2-02c0402135c9,Arthrite
5522d65c-6570-45a4-84f2-df07cd686d35,Arthrose
afd89fac-1d87-4d95-beb0-10c0709f0fa5,Asth nie
4f2232a8-3c1c-49c1-b63d-3e91b08feda2,Asthme
765e58b0-89ee-40c6-84e5-2cc2cf3b52ae,Bact�rie
7c517132-f940-4a80-a462-cfedee179ff4,Ballonnements
31c6c72f-f80e-4b97-8d0f-0b99b8034c74,Bouff es de chaleur
af5e6b7f-15e2-4645-8af5-5856641db9df,Bronchites aigu s
8ed124c3-0a8d-479e-baf4-7f172352d80e,Br lures l g res
ec09a196-985b-4919-ad83-44775554d188,Calculs
9de1a665-17eb-4c16-b67c-53f02f620da8,Calculs
bd1a6896-2914-4bd9-b96f-b2fdf2ff2869,Calculs biliaires
1247bec8-cf46-4881-b15a-d77444b46b40,Calculs r naux
f94fe622-7b02-4c45-8bf5-016e5178f802,Calculs r naux
b45b496e-d407-430a-8beb-2c32e0f69bca,"Champignons, levures, moisissures"
cedd8325-e50d-4ec5-a81e-76c7e199b71f,Cicatrisation
4a26855f-d362-48e4-989c-c18f431a8e15,Coliques n phr tiques
35f6dfb0-2043-4588-a79a-cbf13446a88f,Colite
fd64d69e-ac88-4139-b936-c0fbaf11eed3,Conjonctivite
54de8c4c-f818-4e31-8432-1d6e2dc8e473,Consolidation des fractures
57033316-6034-4cea-ba9f-e259cf6e5b06,Constipation
1e52926a-8391-4156-b300-3fb5885d0e07,Courbatures f briles
320cb030-45b3-4c56-9af1-9b752d55923a,Crampes
8282d295-9ef4-437c-9199-c4d87898d8c6,Crampes abdominales
b5ddb26f-9d56-424a-99e0-1232a2a4a57c,Crise de foie
57d7873e-f4d3-49ba-8964-ae5e2c88be92,Peau irrit�e
36fefcbf-e22a-4e9c-9ca2-4554da8c80b5,Cystite
5e313d39-ce47-4ace-9611-0cfd5f3cf960,Diarrh�e
446b2b0f-615b-4557-a2db-6e4f91381d44,Digestion difficile
218bd19c-3cd3-4ed6-a612-27161d52f0d8,Digestion lente
ffb98b2f-394a-4455-a272-ae6fc527bd62,Trouble diur tique
a9364057-2a13-4db4-ab61-fa0769da8eb8,Douleur mammaire
2cad2f19-a062-4c66-9652-6081c3205891,Douleur n vralgique
0ca8be3a-7931-4c94-9f48-f4018f430549,Douleurs Digestifs
