plant_title;property_title
Aigremoine;Astringente
Aigremoine;Vulnéraire
Aigremoine;Emménagogue
Aigremoine;Emolliente
Aigremoine;Anti-inflammatoire
Aigremoine;Anti-diabétique
Ail;Hypotenseur
Ail;Antifongique
Ail;Vermifuge
Aloe vera;Cicatrisant / Régénérant
Angélique;Carminative
Angélique;Cholagogue
Angélique;Antispasmodique
Angélique;Antilactée
Angélique;Calmante
Arbre à thé;Antifongique
Ashwagandha;Adaptogène
Aspérule odorante;Sédative
Aspérule odorante;Hépatoprotecteur
Astragale;Immunostimulant
Aubépine;Calmante
Aubépine;Adoucissant
Aubépine;Anti-inflammatoire circulatoire
Aubépine;Cardiotonique
Aubépine;Astringente
Aubépine;Tonique vasculaire
Badiane (anis étoilé);Calmante
Badiane (anis étoilé);Carminative
Bardane;Antifongique
Bardane;Antibactérienne
Bardane (racines);Dépuratif
Basilic;Antispasmodique
Boldo;Cholagogue
Boldo;Cholérétique
Boldo;Hépatoprotecteur
Bouillon blanc;Pectorale
Bouillon blanc;Sédative
Bouleau;Diurétique
Bouleau;Dépuratif
Bourrache;Régénérante
Bourrache;Restructurante
Bruyère;Bactéricide
Bruyère;Antiseptique urinaire
Bruyère;Antidiarrhéique
Bruyère;Antiseptique
Bruyère;Anti-inflammatoire
Buis;Antiseptique
Buis;Sédative
Busserole;Antiseptique urinaire
Busserole;Antidiarrhéique
Busserole;Antiseptique
Busserole;Anti-inflammatoire
Calendula;Cicatrisant / Régénérant
Camomille;Carminative
Camomille;Antiseptique
Camomille;Antinévralgique
Camomille;Anti-inflammatoire
Camomille;Stomachique
Camomille;
Camomille;Antispasmodique
Camomille;Vulnéraire
Camomille romaine;Analgésique
Camomille romaine;Neurologique
Cannelle;Stimulante
Cannelle;Antalgique
Cannelle;Stomachique
Cannelle;Antibactérienne
Cassis;Antiacide
Cassis;Diurétique
Cassis;Anti-inflammatoire
Cassis;Antioxydant
Centella asiatica;Cicatrisant / Régénérant
Cerise;Diurétique
Chiendent;Diurétique
Chiendent;Antiseptique
Clou de girofle;Analgésique
Clou de girofle;Neurologique
Consoude;Cicatrisant / Régénérant
Consoude;Astringente
Coquelicot;Sédative
Coquelicot;Adoucissant
Coquelicot;Antitussive
Courge;Laxative
Courge;Anti-inflammatoire
Courge;Vermifuge
Curcuma;Anti-inflammatoire
Curcuma;Hépatoprotecteur
Curcuma;Antioxydant
Échinacée;Immunostimulant
Échinacée;Antiviral
Estragon;Carminative
Estragon;Antiallergique
Estragon;Antispasmodique
Estragon;Stomachique
Eucalyptus;Antiseptique
Eucalyptus;Expectorant
Eucalyptus;Anti-inflammatoire
Eucalyptus;Antirhumatismale
Eucalyptus;Antitussive
Pissenlit;Hépatoprotecteur
Pissenlit;Diurétique
Pissenlit;Cholérétique
Prêle;Reminéralisante
Prêle;Antilithique
Prêle;Antiseptique
Prêle;Anti-inflammatoire
Prêle;Antalgique
Prêle;Astringente
Romarin;Carminative
Romarin;Cholagogue
Romarin;Antispasmodique
Romarin;Antioxydant
Romarin;Antiseptique
Romarin;Stomachique
Sauge;Carminative
Sauge;Antisudorale
Sauge;Stomachique
Sauge;Antiseptique
Sauge;Adoucissant
Sauge;Antitussive
Saule blanc;Analgésique
Saule blanc;Neurologique
Sureau;Expectorant
Sureau;Sudorifique
Sureau;Antiviral
Sureau;Antitussive
Thé vert;Antioxydant
Thym;Expectorant
Tilleul;Sédative
Tilleul;Sudorifique
Valériane;Sédative
