title;description;administration_mode;consumed_part;created_at
Aigremoine;Agrimonia eupatoria/ Europe_ Asie tempérée/ Plante herbacée sauvage à petites fleurs jaunes/;ORAL_ROUTE;Parties aériennes fleuries;27/01/2026
Ail;Allium sativum/ Asie centrale_ Méditerranée/ Petit bulbe parfumé_ pilier de nombreuses cuisines/;ORAL_ROUTE;Parties aériennes fleuries;27/01/2026
Aloe vera;Aloe barbadensis Miller/ Afrique du Nord_ Arabie/ Plante succulente aux feuilles épaisses et gélifiées/;ORAL_ROUTE;Parties aériennes fleuries;27/01/2026
Angélique;Angelica archangelica/ Europe_ Asie du Nord/ Grande ombellifère aux tiges robustes_ plante aromatique/;ORAL_ROUTE;Racines;27/01/2026
Anis;Pimpinella anisum/ Bassin méditerranéen_ Égypte/ Petite plante aromatique dont les graines sont très parfumées/;ORAL_ROUTE;Racines;27/01/2026
Arbre à thé;Melaleuca alternifolia/ Australie/ Petit arbre australien_ EPIDERMAL_ROUTE essentielle très célèbre/;ORAL_ROUTE;Racines;27/01/2026
Armoise;Artemisia vulgaris/ Europe_ Asie/ Plante sauvage feuillue_ tiges hautes et fleurs argentées/;ORAL_ROUTE;Racines;27/01/2026
Ashwagandha;"Withania somnifera/ Inde_ Moyen-Orient_ Afrique/ Petite plante connue comme ""ginseng indien""_ racine médicinale/";ORAL_ROUTE;Racines;27/01/2026
Aspérule odorante;Galium odoratum/ Europe_ Asie/ Petite plante rampante_ feuilles vert clair_ odeur de vanille/;ORAL_ROUTE;Parties aériennes fleuries;27/01/2026
Astragale;Astragalus membranaceus/ Chine_ Mongolie/ Plante robuste à longues racines utilisées en ORAL_ROUTE/;ORAL_ROUTE;Parties aériennes fleuries;27/01/2026
Aubépine;Crataegus monogyna/ Europe_ Asie/ Arbuste épineux aux baies rouges et fleurs blanches/;ORAL_ROUTE;Fleurs;27/01/2026
Badiane (anis étoilé);Illicium verum/ Chine_ Vietnam/ Graine en forme d’étoile très aromatique/;ORAL_ROUTE;Étoile (fruit);27/01/2026
Bardane (racines);Arctium lappa/ Europe_ Asie/ Grande plante à feuilles larges_ racines profondes/;ORAL_ROUTE;Étoile (fruit);27/01/2026
Basilic;Ocimum basilicum/ Inde_ Asie du Sud/ Plante aromatique à feuilles brillantes_ odeur caractéristique/;ORAL_ROUTE;Étoile (fruit);27/01/2026
Boldo;Peumus boldus/ Chili/ Petit arbre sud-américain_ feuilles argentées et parfumées/;ORAL_ROUTE;Feuilles;27/01/2026
Bouillon blanc;Verbascum thapsus/ Europe_ Asie/ Grande plante à fleurs jaunes en épis_ feuilles duveteuses/;ORAL_ROUTE;Fleurs;27/01/2026
Bouleau;Betula pendula/ Europe_ Asie/ Arbre au tronc blanc caractéristique_ feuillage léger/;ORAL_ROUTE;Feuilles;27/01/2026
Bourrache;Borago officinalis/ Méditerranée/ Plante à fleurs bleues en étoile_ feuillage rugueux/;EPIDERMAL_ROUTE;Fleurs;27/01/2026
Bruyère;Calluna vulgaris/ Europe_ Asie/ Petit buisson à petites fleurs mauves tapissant les landes/;ORAL_ROUTE;Fleurs;27/01/2026
Buis;Buxus sempervirens/ Europe_ Afrique du Nord/ Arbuste dense_ souvent taillé en haie ou topiaire/;ORAL_ROUTE;Feuilles;27/01/2026
Busserole;Arctostaphylos uva-ursi/ Europe_ Asie_ Amérique du Nord/ Petit sous-arbrisseau aux feuilles persistantes et baies rouges/;ORAL_ROUTE;Feuilles;27/01/2026
Calendula;Calendula officinalis/ Europe du Sud_ Méditerranée/ Plante à grandes fleurs jaunes ou orangées_ souvent ornementale/;ORAL_ROUTE;Feuilles;27/01/2026
Camomille;Matricaria recutita/ Europe_ Asie occidentale/ Petite plante aux capitules blancs et jaunes_ très odorante/;ORAL_ROUTE;Fleurs;27/01/2026
Camomille romaine;Chamaemelum nobile/ Europe de l’Ouest/ Plante vivace au parfum doux_ fleurs semblables à de petites marguerites/;ORAL_ROUTE;Fleurs;27/01/2026
Cannelle;Cinnamomum verum/zeylanicum/ Sri Lanka_ Inde/ Écorce odorante_ en bâton ou poudre_ très utilisée en cuisine/;ORAL_ROUTE;Ecorce;27/01/2026
Cassis;Ribes nigrum/ Europe_ Asie/ Arbrisseau donnant de petites baies noires acidulées/;ORAL_ROUTE;Feuilles;27/01/2026
Centella asiatica;Centella asiatica/ Inde_ Asie du Sud-Est/ Petite plante rampante connue sous le nom de «?gotu kola?»/;ORAL_ROUTE;Feuilles;27/01/2026
Cerise (queue de cerise);Prunus avium/ Europe_ Asie/ Arbre fruitier bien connu_ les queues de ses fruits sont utilisées en phytothérapie/;ORAL_ROUTE;Feuilles;27/01/2026
Chardon-Marie;Silybum marianum/ Méditerranée/ Grande plante épineuse à fleurs violettes et feuilles marbrées/;ORAL_ROUTE;Feuilles;27/01/2026
Chiendent;Elymus repens/ Europe_ Asie/ Herbe sauvage très commune_ rhizome traçant invasif/;ORAL_ROUTE;Rhizome;27/01/2026
Clou de girofle;Syzygium aromaticum/ Indonésie_ Asie/ Bouton floral séché_ brun et très aromatique/;ORAL_ROUTE;Rhizome;27/01/2026
Consoude;Symphytum officinale/ Europe_ Asie occidentale/ Plante aux larges feuilles rêches et fleurs violacées en clochettes/;ORAL_ROUTE;Racine;27/01/2026
Coquelicot;Papaver rhoeas/ Europe_ Asie/ Plante champêtre à fleurs rouges éclatantes et légères/;ORAL_ROUTE;Pétales;27/01/2026
Cordyceps;Cordyceps sinensis/ Tibet_ Chine/ Champignon rare poussant sur des insectes_ très recherché/;ORAL_ROUTE;Pétales;27/01/2026
Coriandre;Coriandrum sativum/ Bassin méditerranéen/ Plante annuelle aux feuilles découpées et graines aromatiques/;ORAL_ROUTE;Pétales;27/01/2026
Courge;Cucurbita pepo/ Amérique centrale/ Plante potagère_ fruits variés (citrouille_ courgette)/;ORAL_ROUTE;Pétales;27/01/2026
Cumin;Cuminum cyminum/ Méditerranée orientale/ Petite plante ombellifère_ graines longues et aromatiques/;ORAL_ROUTE;Pétales;27/01/2026
Curcuma;Curcuma longa/ Inde_ Asie du Sud-Est/ Rhizome jaune éclatant_ utilisé en épice ou pigment/;ORAL_ROUTE;Pétales;27/01/2026
Damiana;Turnera diffusa/ Amérique centrale et du Sud/ Petit arbuste aux fleurs jaunes et feuilles aromatiques/;ORAL_ROUTE;Pétales;27/01/2026
Échinacée;Echinacea purpurea/angustifolia/ Amérique du Nord/ Plante vivace à fleurs pourpres au cœur épineux/;ORAL_ROUTE;Pétales;27/01/2026
Estragon;Artemisia dracunculus/ Asie centrale/ Plante aromatique aux longues feuilles vertes fines/;ORAL_ROUTE;Pétales;27/01/2026
Eucalyptus;Eucalyptus globulus/ Australie_ Tasmanie/ Grand arbre au feuillage bleu-gris_ à odeur fraîche/;ORAL_ROUTE;Pétales;27/01/2026
Fenouil;Foeniculum vulgare/ Méditerranée/ Plante sauvage aux tiges creuses_ graines aromatiques/;ORAL_ROUTE;Pétales;27/01/2026
Fenugrec;Trigonella foenum-graecum/ Bassin méditerranéen_ Inde/ Petite plante annuelle aux graines dures et jaunes/;ORAL_ROUTE;Pétales;27/01/2026
Fleurs pectorales;Mélange traditionnel/ Europe/ Association de fleurs séchées (souci_ mauve_ primevère…)/;ORAL_ROUTE;Pétales;27/01/2026
Fraisier (feuilles);Fragaria vesca/ Europe_ Asie/ Petite plante rampante_ feuilles à trois lobes_ baies rouges/;ORAL_ROUTE;Pétales;27/01/2026
Frêne;Fraxinus excelsior/ Europe/ Grand arbre de la forêt européenne_ feuilles composées/;ORAL_ROUTE;Pétales;27/01/2026
Fucus;Fucus vesiculosus/ Côtes atlantiques/ Algues brunes communes en bord de mer/;ORAL_ROUTE;Pétales;27/01/2026
Fumeterre;Fumaria officinalis/ Europe_ Asie/ Plante herbacée aux fleurs rose pâle_ feuillage délicat/;ORAL_ROUTE;Pétales;27/01/2026
Gaulthérie;Gaultheria procumbens/ Amérique du Nord/ Petite plante rampante aux baies rouges_ odeur camphrée/;ORAL_ROUTE;Pétales;27/01/2026
Genièvre;Juniperus communis/ Europe_ Asie_ Amérique du Nord/ Petit conifère donnant de petites baies aromatiques bleues/;ORAL_ROUTE;Pétales;27/01/2026
Gentiane;Gentiana lutea/ Montagnes d’Europe/ Plante alpine à grandes racines amères et fleurs jaunes/;ORAL_ROUTE;Pétales;27/01/2026
Gingembre;Zingiber officinale/ Asie du Sud-Est/ Rhizome noueux_ chair jaune et goût piquant/;ORAL_ROUTE;Pétales;27/01/2026
Ginseng;Panax ginseng/ Asie de l’Est/ Racine charnue_ silhouette parfois anthropomorphe/;ORAL_ROUTE;Pétales;27/01/2026
Girofle (clou de girofle);Syzygium aromaticum/ Indonésie/ Bouton floral séché_ brun foncé très aromatique/;ORAL_ROUTE;Pétales;27/01/2026
Griffonia;Griffonia simplicifolia/ Afrique de l’Ouest/ Plante grimpante_ gousses vertes et graines riches en 5-HTP/;ORAL_ROUTE;Pétales;27/01/2026
Guarana;Paullinia cupana/ Amazonie/ Liane à petites graines rondes_ riches en caféine/;ORAL_ROUTE;Pétales;27/01/2026
Gymnema;Gymnema sylvestre/ Inde/ Plante grimpante aux feuilles ovales/;ORAL_ROUTE;Pétales;27/01/2026
Harpagophytum;Harpagophytum procumbens/ Afrique australe (Namibie)/ Plante rampante du désert_ fruits aux crochets acérés/;ORAL_ROUTE;Pétales;27/01/2026
Hibiscus;Hibiscus sabdariffa/ Afrique de l’Ouest/ Arbuste ornemental_ grandes fleurs rouges/;ORAL_ROUTE;Pétales;27/01/2026
Hysope;Hyssopus officinalis/ Europe_ Méditerranée/ Plante vivace à petites fleurs bleues violettes/;ORAL_ROUTE;Pétales;27/01/2026
Laurier;Laurus nobilis/ Méditerranée/ Arbuste aux feuilles vert foncé_ odeur aromatique/;ORAL_ROUTE;Pétales;27/01/2026
Lavande;Lavandula angustifolia/ Bassin méditerranéen/ Petit arbrisseau_ fleurs violettes au parfum envoûtant/;ORAL_ROUTE;Pétales;27/01/2026
Lierre grimpant;Hedera helix/ Europe/ Plante grimpante aux feuilles persistantes_ vert foncé/;ORAL_ROUTE;Pétales;27/01/2026
Lierre terrestre;Glechoma hederacea/ Europe_ Asie/ Petite plante rampante_ feuilles arrondies_ fleurs bleu-violet/;ORAL_ROUTE;Pétales;27/01/2026
Lin;"Linum usitatissimum/ Moyen-Orient_ Méditerranée/ Plante à tige longue_ fleurs bleu pâle?; graines riches en EPIDERMAL_ROUTE/";ORAL_ROUTE;Pétales;27/01/2026
Lotier corniculé;Lotus corniculatus/ Europe_ Asie/ Petite plante des prés_ fleurs jaunes_ feuilles finement découpées/;ORAL_ROUTE;Pétales;27/01/2026
Maca;Lepidium meyenii/ Andes péruviennes/ Petite plante tubéreuse_ racine beige à noire/;ORAL_ROUTE;Pétales;27/01/2026
Marjolaine;Origanum majorana/ Méditerranée orientale/ Plante aromatique_ feuilles vertes duveteuses_ fleurs blanches/;ORAL_ROUTE;Pétales;27/01/2026
Maté vert;Ilex paraguariensis/ Amérique du Sud/ Arbre dont on utilise les feuilles pour une ORAL_ROUTE énergisante/;ORAL_ROUTE;Pétales;27/01/2026
Mélilot;Melilotus officinalis/ Europe_ Asie/ Plante herbacée à fleurs jaunes regroupées en grappes/;ORAL_ROUTE;Pétales;27/01/2026
Mélisse;Melissa officinalis/ Méditerranée/ Petite plante à feuilles duveteuses_ parfum citronné/;ORAL_ROUTE;Pétales;27/01/2026
Menthe poivrée;Mentha × piperita/ Europe (hybride)/ Plante à feuilles vert sombre_ odeur puissante_ goût frais/;ORAL_ROUTE;Pétales;27/01/2026
Millefeuille;Achillea millefolium/ Europe_ Asie/ Plante sauvage aux tiges fines_ feuillage délicat_ fleurs blanches/;ORAL_ROUTE;Pétales;27/01/2026
Millepertuis;Hypericum perforatum/ Europe_ Asie/ Herbe sauvage à fleurs jaunes_ feuilles perforées/;ORAL_ROUTE;Pétales;27/01/2026
Myrtille;Vaccinium myrtillus/ Europe_ Asie du Nord/ Petit arbrisseau forestier_ baies rondes bleu noir/;ORAL_ROUTE;Pétales;27/01/2026
Olivier;Olea europaea/ Méditerranée/ Arbre emblématique_ feuilles grises_ fruits verts ou noirs/;ORAL_ROUTE;Pétales;27/01/2026
Orange (fleur/zeste);"Citrus sinensis/ Asie du Sud-Est/ Arbre fruitier_ fruits orange sucrés?; fleurs très odorantes/";ORAL_ROUTE;Pétales;27/01/2026
Origan;Origanum vulgare/ Méditerranée/ Plante vivace aux feuilles très aromatiques_ fleurs roses/;ORAL_ROUTE;Pétales;27/01/2026
Ortie;Urtica dioica/ Europe_ Asie/ Plante sauvage à tiges urticantes_ feuilles dentelées/;ORAL_ROUTE;Pétales;27/01/2026
Papaye;Carica papaya/ Amérique centrale/ Arbre aux fruits jaunes orangés_ chair juteuse_ graines noires/;ORAL_ROUTE;Pétales;27/01/2026
Passiflore;Passiflora incarnata/ Amériques tropicales/ Plante grimpante_ fleurs exubérantes à couronne filamenteuse/;ORAL_ROUTE;Pétales;27/01/2026
Pensée sauvage;Viola tricolor/ Europe/ Petite fleur tricolore (violet_ jaune_ blanc)_ plante de prairie/;ORAL_ROUTE;Pétales;27/01/2026
Pétasite;Petasites hybridus/ Europe_ Asie/ Grande herbe à larges feuilles rondes_ fleurissant avant le feuillage/;ORAL_ROUTE;Pétales;27/01/2026
Pin;Pinus sylvestris/ Europe_ Asie/ Grand arbre résineux_ aiguilles persistantes et cônes ovoïdes/;ORAL_ROUTE;Pétales;27/01/2026
Pissenlit;Taraxacum officinale/ Europe_ Asie/ Plante vivace_ fleurs jaunes et feuilles dentelées/;ORAL_ROUTE;Pétales;27/01/2026
Prêle;Equisetum arvense/ Europe_ Asie/ Plante primitive à tiges articulées_ sans vraies feuilles/;ORAL_ROUTE;Pétales;27/01/2026
Quercétine (oignon);Allium cepa (oignon)/ Asie/ Bulbe alimentaire (oignon)_ riche en flavonoïdes naturels/;ORAL_ROUTE;Pétales;27/01/2026
Quinquina;Cinchona officinalis/ Amérique du Sud (Pérou_ Bolivie)/ Arbre à écorce blanche_ source historique de la quinine/;ORAL_ROUTE;Pétales;27/01/2026
Réglisse;Glycyrrhiza glabra/ Méditerranée_ Asie/ Plante herbacée_ racines brunes au goût sucré/;ORAL_ROUTE;Pétales;27/01/2026
Reine des prés;Filipendula ulmaria/ Europe_ Asie/ Plante vivace_ grandes inflorescences blanches et parfumées/;ORAL_ROUTE;Pétales;27/01/2026
Reishi;Ganoderma lucidum/ Asie (Chine_ Japon)/ Champignon laqué_ pousse sur le bois mort_ rare à l'état sauvage/;ORAL_ROUTE;Pétales;27/01/2026
Rhodiola;Rhodiola rosea/ Sibérie_ régions polaires/ Petite plante grasse_ fleurs jaunes_ racines aromatiques/;ORAL_ROUTE;Pétales;27/01/2026
Romarin;Rosmarinus officinalis/ Méditerranée/ Arbrisseau à feuilles persistantes_ odeur camphrée/;ORAL_ROUTE;Pétales;27/01/2026
Ronce (feuille);Rubus fruticosus/ Europe_ Asie/ Buisson épineux_ fruits noirs (mûres)_ feuilles dentelées/;ORAL_ROUTE;Pétales;27/01/2026
Sauge;Salvia officinalis/ Méditerranée/ Plante à feuilles légèrement duveteuses_ goût prononcé/;ORAL_ROUTE;Pétales;27/01/2026
Saule blanc;Salix alba/ Europe_ Asie_ Amérique du Nord/ Grand arbre souple près des rivières_ feuilles argentées/;ORAL_ROUTE;Pétales;27/01/2026
Sureau;Sambucus nigra/ Europe_ Asie/ Arbuste aux fleurs blanches en grappes_ baies noires/;ORAL_ROUTE;Pétales;27/01/2026
