property;property_family;property_detail;created_at
Antiallergique;Allergique;Diminue les réactions allergiques;27/01/2026
Antifongique;Antibactérien;Élimine les microbes;27/01/2026
Astringente;Anti-diarrhéique;Réduit les pertes hydriques intestinales;27/01/2026
Analgésique;antidouleur;antidouleur;27/01/2026
Analgésique;antidouleur;Analgésique;27/01/2026
Antifongique;Antifongique;s;27/01/2026
Antihémorragique;Antihémorragique;Diminue les saignements;27/01/2026
Antiseptique;Anti-infectieux;Élimine les microbes;27/01/2026
Stimulante;Anti-infectieux;Renforce l'immunité;27/01/2026
Antalgique;Anti-inflammatoire;Soulage la douleur;27/01/2026
Anti-inflammatoire;Anti-inflammatoire;Réduit l’inflammation;27/01/2026
Astringente;Anti-inflammatoire;Diminue l’inflammation /  resserre les tissus;27/01/2026
Astringente;Anti-inflammatoire;Calme et restaure la voix;27/01/2026
Vulnéraire;Anti-inflammatoire;Favorise la cicatrisation;27/01/2026
Astringente;Anti-inflammatoire;Diminue l’inflammation;27/01/2026
Antilaiteuse;Antilaiteuse;Diminue la production de lait;27/01/2026
Antinévralgique;Antinévralgique;Calme les douleurs;27/01/2026
Antioxydant;Antioxydant;Protège les cellules;27/01/2026
Antioxydant;Antioxydant;Protège les cellules / Ralenti leur destruction;27/01/2026
Antirhumatismale;Antirhumatismale;Combat les rhumatismes;27/01/2026
Antiseptique;Antiseptique;Élimine les microbes;27/01/2026
Bactéricide;Antiseptique;Élimine les microbes;27/01/2026
Bactricide;Antiseptique;Élimine les bactéries;27/01/2026
Antiseptique;Antiseptique;Assainit les poumons;27/01/2026
Antiseptique;Antiseptique;Assainit les voies urinaires;27/01/2026
Antiseptique;Antiseptique;Assainit les voies Digestifs;27/01/2026
Antiseptique urinaire;Antiseptique urinaire;Élimine les microbes;27/01/2026
Antiseptique urinaire;Antiseptique urinaire;Champignons, levures, moisissures;27/01/2026
Antispasmodique;Antispasmodique;Calme les spasmes;27/01/2026
Antispasmodique;Antispasmodique;Diminue les spasmes;27/01/2026
Antitussive;Antitussive;Diminue la toux;27/01/2026
Astringente;Astringent;Resserre les tissus;27/01/2026
Astringent;Astringente;Resserre les tissus;27/01/2026
Astringente;Astringente;Resserre les tissus;27/01/2026
Emolliente;Astringente;Calme l’irritation et resserre les muqueuses;27/01/2026
Sédative;Calmante;Facilite l’endormissement;27/01/2026
Sédative;Calmante;Calme la nervosité;27/01/2026
Neurologique;Calme le système Neurologique;Feuilles;27/01/2026
Cardiotonique;Cardiaque;Régule le rythme cardiaque;27/01/2026
Cardiotonique;Cardiaque;Renforce le cœur;27/01/2026
Anticoagulant;Circulatoire;Fluidifie le sang;27/01/2026
Antioxydant;Circulatoire;Renforce les capillaires;27/01/2026
Fluidifiant;Circulatoire;Fluidifie le sang;27/01/2026
Vasodilatateur;Circulatoire;Élargit les vaisseaux sanguins;27/01/2026
Hypotensive;Circulatoire;Diminue la pression artérielle;27/01/2026
Anti-inflammatoire circulatoire;Circulatoire;Réduit l’inflammation vasculaire;27/01/2026
Oedème;Circulatoire;Réduit les oedèmes;27/01/2026
Antioxydant;Circulatoire;Protège les cellules / Ralenti leur destruction;27/01/2026
Diurétique;Circulatoire;Facilite l’élimination urinaire;27/01/2026
Tonique veineux;Circulatoire;Tonifie les veines;27/01/2026
Antioxydant;Circulatoire;Protège les vaisseaux sanguins;27/01/2026
Stimulant;Circulatoire;Stimule la circulation sanguine;27/01/2026
Sudorifique;Circulatoire;Augmente la sudation;27/01/2026
Tonique;Circulatoire;Augmente le tonus;27/01/2026
Tonique vasculaire;Circulatoire;Tonifie les vaisseaux;27/01/2026
Antioxydant;Cutané;Renforce les capillaires;27/01/2026
Antiseptique;Cutané;Élimine les microbes;27/01/2026
Astringente;Cutané;Resserre les tissus;27/01/2026
Cicatrisant / Regénérant;Cutané;Favorise la regénération de la Cutané;27/01/2026
Dépuratif;Cutané;Nettoie la Cutané;27/01/2026
Dépurative;Cutané;Nettoie la Cutané;27/01/2026
Reminéralisante;Cutané;Renforce le cuir chevelu;27/01/2026
Reminéralisante;Cutané;Renforce les ongles;27/01/2026
Emolliente;Cutané;Adoucit les muqueuses;27/01/2026
Vulnéraire;Cutané;Favorise la cicatrisation;27/01/2026
Vulnéraire immonostimulante;Cutané;Renforce l’immunité;27/01/2026
Antalgique;Dentaire;Soulage la douleur;27/01/2026
Dépuratif;Dépuratif;Nettoie l’organisme;27/01/2026
Dépuratif;Dépuratif;Racine;27/01/2026
Diététique;Diététique;Régule le cholestérol;27/01/2026
Diététique;Diététique;Régule le métabolisme;27/01/2026
Antalgique;Digestif;Soulage la douleur;27/01/2026
Antiacide;Digestif;Diminue l'acidité;27/01/2026
Anticonstipant;Digestif;Combat la constipation;27/01/2026
Antidiarrhéique;Digestif;Réduit la diarrhée;27/01/2026
Antispasmodique;Digestif;Calme les spasmes;27/01/2026
Astringente;Digestif;Resserre les tissus;27/01/2026
Carminative;Digestif;Réduit la formation de gaz;27/01/2026
Carminative;Digestif;Réduit la formation de gaz / Facilite la digestion;27/01/2026
Carminative;Digestif;Facilite la digestion;27/01/2026
Cholagogue;Digestif;Favorise l'écoulement biliaire;27/01/2026
Cholagogue;Digestif;Favorise la sécrétion biliaire;27/01/2026
Cholagogue;Digestif;Favorise l'écoulement de la bile;27/01/2026
Cholagogue;Digestif;Favorise l’évacuation de la bile;27/01/2026
Cholérétique;Digestif;Stimule la formation de bile;27/01/2026
Cholérétique;Digestif;Stimule la sécrétion biliaire;27/01/2026
Digestif;Digestif;w;27/01/2026
Emolliente;Digestif;Adoucit les muqueuses;27/01/2026
Spasmolytique;Digestif;Calme les spasmes;27/01/2026
Stomachique;Digestif;Diminue l'acidité;27/01/2026
Stomachique;Digestif;Facilite la digestion;27/01/2026
Anti-ulcéreux;Digestif;Anti-ulcéreux;27/01/2026
Adoucissant;Digestif;Adoucit les muqueuses;27/01/2026
Anti-inflammatoire;Digestif;Réduit l’inflammation;27/01/2026
Antinauséeux;Digestif;Soulage les nausées;27/01/2026
Apéritif;Digestif;Stimule l’appétit;27/01/2026
Tonifiant;Digestif;Renforce le tonus;27/01/2026
Cholérétique;Digestif;Favorise la sécrétion biliaire;27/01/2026
Carminative;Digestif;Réduit les gaz et spasmes;27/01/2026
Dépurative;Digestif;Nettoie l’organisme;27/01/2026
Antiulcéreux;Digestif;Protège contre les ulcères;27/01/2026
Anti-vomissement;Digestif;Soulage les vomissements;27/01/2026
Antioxydant;Digestif;Protège les cellules / Ralenti leur destruction;27/01/2026
Anti-parasitaire;Digestif;Élimine les parasites;27/01/2026
Antiseptique;Digestif;Élimine les microbes;27/01/2026
Antivomitif;Digestif;Soulage les vomissements;27/01/2026
Carminatif;Digestif;Diminue les gaz;27/01/2026
Carminatif;Digestif;réduit les gaz;27/01/2026
Cholagogue;Digestif;Facilite l'évacuation de la bile;27/01/2026
Cholagogue;Digestif;Favorise l’élimination de la bile;27/01/2026
Cholagogue;Digestif;Facilite l’évacuation de la bile;27/01/2026
Cholérétique;Digestif;Facilite la synthèse de la bile;27/01/2026
Dépuratif;Digestif;Nettoie l’organisme;27/01/2026
Digestif;Digestif;Favorise la digestion;27/01/2026
Energisant;Digestif;Augmente le tonus;27/01/2026
Hépatoprotecteur;Digestif;Protège le foie;27/01/2026
Hypotenseur;Digestif;Diminue la pression artérielle;27/01/2026
Immunostimulant;Digestif;Renforce l’immunité;27/01/2026
Laxative;Digestif;Facilite le transit;27/01/2026
Orexigène;Digestif;Augmente la sensation de faim;27/01/2026
Stimulant;Digestif;Stimule la digestion;27/01/2026
Stimulant;Digestif;Stimule l’organisme;27/01/2026
Tonique;Digestif;Stimule le tonus;27/01/2026
Dissolvant;Dissolvant;Dissout certains éléments;27/01/2026
