property;symptom
Adaptogène;Anxiété
Adaptogène;Fatigue
Adaptogène;Manque d’énergie
Adaptogène;Stress
Analgésique;Crampes
Analgésique;Douleurs légères à modérées
Analgésique;Maux de tête
Antalgique;Courbatures fébriles
Antalgique;Maux de dents
Antiacide;Aigreurs d'estomac
Antiallergique;Allergies
Antiallergique;Rhinite
Antibactérien;Gastro-intestinales
Antibactérien;Infections cutanées
Antibactérien;respiratoire
Antibactérienne;Gastro-intestinales
Antibactérienne;Infections cutanées
Antibactérienne;Infections intestinales
Antibactérienne;respiratoire
Anticoagulant;Circulation sanguine
Antidépresseur;Anti-dépresseur
Antidépresseur;Tendance dépressive
Antidiabétique;Diabète de la vieillesse
Antidiabétique;Diabète non insulino-dépendant
Anti-diabétique;Prise de poids
Antidiarrhéique;Diarrhée
Antifongique;Infections cutanées
Antifongique;Presence de champignon
Antifongique;Problème cutané
Antihémorragique;Présence de champignon
Anti-inflammatoire;Arthrite
Anti-inflammatoire;Arthrose
Anti-inflammatoire;Douleurs musculosquelettiques
Anti-inflammatoire;Douleurs inflammatoires
Anti-inflammatoire;Douleurs rhumatismales
Anti-inflammatoire;Gène prostatique
Anti-inflammatoire;Infections aigües et chroniques
Anti-inflammatoire;Inflammation de l'arbre urinaire et prostate
Anti-inflammatoire;Inflammations cutanées
Anti-inflammatoire;Rhumatisme
Anti-inflammatoire;Rhumatismes
Anti-inflammatoire;Tendinite
Anti-inflammatoire;Tendinites
Anti-nausée;Mal des transports
Antinauséeux;Nausées
Antioxydant;Amélioration vision nocturne
Antioxydant;Fatigue chronique
Antioxydant;Fragilité capillaire
Antioxydant;Fragilité des capillaires
Antioxydant;Maladies cardio-vasculaires
Antioxydant;Stress oxydatif
Antioxydant;Troubles de la circulation et de la ménopause
Antioxydant;Vieillissement cellulaire
Antirhumatismale;Antirhumatismale
Antiseptique;Abcès
Antiseptique;Antiseptique
Antiseptique;Bronchites aiguës
Antiseptique;Conjonctivite
Antiseptique;Furoncle
Antiseptique;Gène pulmonaire
Antiseptique;Infections des voies urinaires
Antiseptique;Infections respiratoire
Antiseptique;Inflammations buccales
Antiseptique;Rhinite
Antiseptique;Rhume
Antiseptique;Sinusite
Antiseptique urinaire;Cystite
Antiseptique urinaire;Cytite
Antispasmodique;Asthme
Antispasmodique;Coliques intestinales
Antispasmodique;Colite
Antispasmodique;Crampes abdominales
Antispasmodique;Décongestionnant prostatique
Antispasmodique;Gastrite
Antispasmodique;Menstruations douloureuses
Antispasmodique;Préménopause
Antispasmodique;Règles douloureuses
Antispasmodique;Spasmes abdominaux
Antisudorale;Bouffées de chaleur
Antisudorale;Transpiration excessive
Antiviral ;Grippe
Antiviral ;Infections virales ORL
Antiviral ;Rhume
Apéritive;Anorexie
Apéritive;Manque d'appétit
Apéritive;Perte d'appétit
Aphrodisiaque;Fatigue sexuelle
Aphrodisiaque;Impuissance
Aphrodisiaque;Troubles sexuels
Astringente;Angine
Astringente;Angine / Diarrhés
Astringente;Couperose
